Nom_Produit,Marque,Categorie,Energie_kJ,Sucres_g,Graisses_Sat_g,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,NutriScore_Score,NutriScore_Lettre,Points_N,Points_P,GreenScore_Lettre,GreenScore_Score,ELECTRE_Pess_0.6,ELECTRE_Opt_0.6,ELECTRE_Pess_0.7,ELECTRE_Opt_0.7,RF_Pred
Purée de pommes sans sucres ajoutés,Vergers Gourmands,compotes,229.0,10.0,0.0,0.0,0.9,0.4,0.0,1,B,1,0,A,89,A,A,D,A,A
PomPotes PommePoire,Materne,compotes,243.0,10.0,0.2,0.01,0.5,1.6,0.0,1,B,1,0,A,80,B,B,C,B,B
Pomme Châtaigne,Andros,compotes,544.0,27.0,0.0,0.0,0.5,1.8,0.0,5,C,5,0,A,79,B,B,B,A,C
Pêche morceaux généreux,Andros,compotes,331.0,17.0,0.0,0.02,0.9,1.9,0.0,4,C,4,0,A,76,B,B,B,B,C
Pom Potes Pomme Banane,"Materne, Pom' Potes",compotes,272.0,12.0,0.2,0.01,0.5,1.3,0.0,1,B,1,0,A,80,B,B,C,B,B
Pomme,Carrefour,compotes,225.0,11.0,0.0,0.04,0.0,1.7,0.0,1,B,1,0,A,81,B,B,C,A,B
Compote de pommes morceaux,Andros,compotes,396.0,21.0,0.0,0.0,0.2,1.3,0.0,5,C,5,0,A,76,B,B,C,B,
Pommes Poires Williams sans sucre ajouté,Charles & Alice,compotes,234.0,11.0,0.1,0.01,0.5,1.6,0.0,1,B,1,0,A,89,A,A,C,B,B
Compote de pomme,"Marque Repère, Douceur du Verger",compotes,228.0,12.0,0.1,0.01,0.5,1.7,0.0,1,B,1,0,A,86,A,A,C,B,B
Pommes  sans sucres ajoutés,Charles & Alice,compotes,233.0,11.0,0.1,0.0,0.5,1.5,0.0,1,B,1,0,A,85,A,A,C,A,
Dessert fruitier Sans Sucres Ajoutés Pomme Fraise,andros,compotes,219.0,11.0,0.0,0.0,0.4,2.2,0.0,1,B,1,0,A,79,A,A,B,A,B
Gourde 5 fruits pomme abricot pêche poire banane,"Materne, Pom'potes",compotes,236.0,12.0,0.2,0.01,0.5,1.4,0.0,1,B,1,0,A,80,B,B,C,B,B
Pommes Mangues avec morceaux,Charles & Alice,compotes,277.0,13.0,0.2,1e-05,0.5,1.5,99.8,-4,A,1,5,A,85,B,A,C,A,B
Pommes Abricots Bergeron,Charles & Alice,compotes,192.0,8.8,0.0,0.01,0.0,1.0,0.0,1,B,1,0,A,88,A,A,C,A,B
PomPotes 5 fruits sans sucres ajoutés,Materne,compotes,228.0,9.67,0.222,0.0111,0.556,1.44,0.0,1,B,1,0,A,80,B,B,C,B,B
Pompotes 5 fruits Pomme Goyave Mangue Ananas Passion,Materne,compotes,237.0,10.0,0.2,0.01,0.5,1.4,98.0,-4,A,1,5,A,81,B,B,C,A,B
Compote pomme mirabelle,POMPOTES,compotes,245.0,11.0,0.2,0.01,0.5,1.0,0.0,1,B,1,0,A,89,B,B,C,B,B
Pomme Chataigne,Andros,compotes,536.0,25.0,0.0,0.0,0.5,2.0,0.0,5,C,5,0,A,87,B,B,B,A,C
Pommes Myrtille SSA,Charles & Alice,compotes,230.0,11.0,0.1,0.01,0.5,1.0,0.0,1,B,1,0,A,88,A,A,C,B,B
Postre de manzana,Jamar,compotes,328.0,17.0,0.1,0.0,0.5,1.9,0.0,4,C,4,0,A,76,B,B,B,B,C
Compote pomme banane,Andros,compotes,369.0,20.0,0.0,0.0,0.4,1.8,0.0,5,C,5,0,A,81,B,B,B,A,C
dessert fruitier pommes nature,Andros,compotes,310.0,17.0,0.0,0.0,0.3,1.3,92.0,-1,A,4,5,A,80,B,A,C,A,C
Abricot morceaux moelleux,Andros,compotes,412.0,21.0,0.0,0.03,0.7,1.6,0.0,5,C,5,0,A,79,B,B,C,B,C
Compote de pommes allégée en sucres,"Carrefour, Simpl",compotes,256.0,14.0,0.0,0.0,0.0,1.8,0.0,1,B,1,0,A,87,A,A,B,A,B
Pommes avec morceaux,VERGER GOURMAND,compotes,297.0,14.0,0.2,0.03,0.3,1.0,0.0,1,B,1,0,A,76,B,B,C,B,B
Pomme morceaux sans sucre ajoute,Andros,compotes,213.0,11.0,0.0,0.0,0.3,1.3,0.0,1,B,1,0,A,76,B,B,C,A,B
The white one or purple one Organic,Ella's kitchen,compotes,301.0,15.1,0.2,0.03,0.8,1.7,0.0,4,C,4,0,D,44,C,C,D,B,B
PomPotes PommeFramboise,"Materne, Pom' Potes",compotes,237.0,10.0,0.111,0.0111,0.556,1.67,0.0,1,B,1,0,A,80,B,B,C,B,B
Pomme vanille,Carrefour,compotes,218.0,11.0,0.1,0.04,0.3,1.7,0.0,1,B,1,0,A,89,B,B,C,B,B
Pomme Banane Vanille,Charles & Alice,compotes,289.0,13.0,0.1,0.01,0.7,1.4,0.0,1,B,1,0,A,89,B,B,C,B,B
Compote de pomme,Eco+,compotes,296.0,14.0,0.4,0.01,0.5,1.6,0.0,1,B,1,0,A,89,B,B,C,B,B
PomPotes Pomme Brugnon,Pom'Potes,compotes,222.0,9.6,0.2,0.01,0.5,1.3,0.0,1,B,1,0,A,81,B,B,C,B,B
Fraise Morceaux Fondants,Andros,compotes,371.0,17.0,0.0,0.025,0.6,3.4,0.0,4,C,5,1,A,79,B,B,B,B,C
Pomme poire,Carrefour,compotes,245.0,12.0,0.0,0.09,0.0,1.9,0.0,1,B,1,0,A,86,B,B,B,A,B
Pompotes,Materne,compotes,243.0,10.6,0.5,0.0,0.5,0.0,0.0,1,B,1,0,A,89,B,B,D,A,B
Pom  go  Compote de pommes allégée en sucres,Vergers Gourmands,compotes,272.0,15.0,0.0,0.0,0.0,1.3,0.0,4,C,4,0,A,79,A,A,C,A,B
Compote de pommes allégée en sucres,Top Budget,compotes,259.0,12.8,0.1,0.01,0.5,0.0,0.0,1,B,1,0,A,89,A,A,D,B,B
Delikatess Edelsalami,Dulano,salamis,1560.0,0.5,14.10000038147,4.0,21.5,0.0,0.0,34,E,34,0,E,16,D,D,D,D,
Salam Sasesc,Cristim Salam Sasesc,salamis,1297.0,0.96,11.0,2.2825,16.33,0.0,0.0,24,E,24,0,E,16,D,D,D,D,E
Vegane Salami BaguetteStyle,Billie Green,salamis,1083.0,3.4,8.7,3.0,32.0,3.0,0.0,26,E,26,0,E,20,C,C,D,C,E
Deperami 100 Pork The Original 10 Lunchbox Minis,Deperami,salamis,2090.0,2.0,18.0,4.1,23.0,0.0,0.0,36,E,36,0,D,30,D,D,E,D,
Salam Victoria,Pikok,salamis,674.0,0.5,4.0,2.0,14.5,0.0,0.0,16,D,16,0,E,16,C,C,D,C,E
Delikatess Edelsalami Klassik,"Dulano,Lidl,Stockmeyer",salamis,1577.0,0.5,14.1,3.6,21.5,0.0,0.0,32,E,32,0,E,21,D,D,D,D,E
Salami Milano,"Lidl,Dulano",salamis,1473.0,0.0,12.0,3.935,25.0,0.0,0.0,33,E,33,0,E,16,D,D,D,D,E
Salam Sinaia,Cămara Noastră,salamis,1745.0,0.1,12.3,4.0,20.9,0.0,0.0,35,E,35,0,E,16,D,D,D,D,E
Pepperami The Original,Pepperami,salamis,2070.0,2.0,18.0,3.84,23.0,0.0,0.0,35,E,35,0,E,16,E,E,E,E,E
Фует,Dulano,salamis,1778.0,0.0,0.0,0.0,24.0,0.0,0.0,-2,A,5,7,E,24,A,A,D,A,A
Kulen,Dobro,salamis,1658.0,0.5,14.0,3.3,25.0,0.0,0.0,30,E,30,0,E,26,D,D,D,D,E
Stickado,Aoste,salamis,2116.0,3.2,16.0,5.0,29.0,0.0,0.0,36,E,36,0,E,20,E,E,E,E,E
Original Peperami,Peperami,salamis,2096.0,2.0,17.0,3.9,23.0,0.0,0.0,35,E,35,0,E,21,E,E,E,E,E
BioSalami  luftgetrocknet,"Bio,Börner-Eisenacher,Gut Bio",salamis,1392.0,0.5,11.5,3.8,21.0,0.0,0.0,32,E,32,0,D,41,D,D,D,D,E
Salami im Pfeffermantel,Dulano/LIDL,salamis,1364.0,1.5,10.5,3.7,23.5,0.0,0.0,32,E,32,0,E,16,D,D,D,D,E
Salami  Snack  Billie Green,Billie Green,salamis,1536.0,4.3,14.0,2.7,34.0,3.0,0.0,28,E,28,0,E,21,D,D,D,C,E
Salami Spianata Romana,"Dulano,Lidl",salamis,1544.0,0.0,12.0,4.2,27.0,0.0,0.0,34,E,34,0,E,21,D,D,D,D,
Italian Salami,Tesco,salamis,1550.0,0.5,10.6,4.13,24.5,0.0,0.0,34,E,34,0,E,23,D,D,D,D,E
Salami Pfeffer,"Lidl,Metzgerfrisch",salamis,1565.0,1.0,13.0,3.4425,20.0,1.0,0.0,31,E,31,0,D,41,D,D,D,C,E
,Hacendado,salamis,2209.0,0.0,0.0,0.0,26.0,0.0,0.0,-1,A,6,7,E,16,A,A,D,A,A
Salam Sasesc felii,CRIS-TIM,salamis,987.0,1.4,7.5,2.28,17.9,0.0,0.0,20,E,20,0,E,16,D,D,D,C,E
BioSalami  Klassik,"Aldi,Börner-Eisenacher,Nur Nur Natur",salamis,1580.0,0.26,11.4,4.39,21.1,0.0,0.0,34,E,34,0,D,36,D,D,D,D,E
Salami extra,Hacendado,salamis,1913.0,5.1,13.0,3.8,16.0,0.0,0.0,34,E,34,0,E,21,D,D,E,D,E
Herzhafte Edelsalami geräuchert,"Gut Drei Eichen,Stockmeyer",salamis,1569.0,0.5,13.0,3.6,22.0,0.0,0.0,32,E,32,0,E,21,D,D,D,D,E
salam de sibiu,camara noastra,salamis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,A,0,0,E,16,A,A,D,A,A
Landsalami,"Metzgerfrisch,Lidl",salamis,1565.0,1.0,13.0,3.44,20.0,1.0,0.0,31,E,31,0,D,36,D,D,D,C,
Edelsalami Lidl,Dulano,salamis,1728.0,0.9,14.4,4.0325,21.0,0.5,0.0,35,E,35,0,E,16,D,D,D,D,E
Salam Sinaia,Cămara noastră,salamis,1745.0,0.1,12.3,4.0,20.9,0.0,0.0,35,E,35,0,E,28,D,D,D,D,E
Salam de Sibiu IGP,Lidl,salamis,2053.0,0.5,18.0,4.5,24.0,0.0,0.0,36,E,36,0,E,21,E,E,E,E,
Stickado Salami Sticks,Aoste,salamis,1749.0,3.0,12.0,5.705,33.0,0.0,0.0,35,E,35,0,E,16,D,D,D,D,
Salami 100  pur porc,Herta,salamis,1674.0,1.0,14.0,4.4,20.0,0.5,0.0,34,E,34,0,E,21,D,D,D,D,E
Salam Sibiu,Agricola,salamis,1987.0,0.8,16.6,9.5,23.4,0.0,0.0,35,E,35,0,E,21,E,E,E,E,E
Wurst Antipastiplatte,"Italiamo, LIDL Italiamo",salamis,1113.0,0.0,6.5,5.2,26.0,0.0,0.0,29,E,29,0,E,16,D,D,D,C,E
Salam de Sibiu,"Agricola, Salbac",salamis,1987.0,0.8,16.6,3.8,23.4,0.0,0.0,33,E,33,0,E,25,E,E,E,E,E
Salam de sibiu,Crist Tim,salamis,1828.0,0.36,16.15,0.0,29.19,0.0,0.0,15,D,15,0,E,21,D,D,D,A,E
Salami 100 pur porc,Herta,salamis,1841.0,1.0,16.0,0.3125,19.0,0.5,0.0,16,D,16,0,E,16,D,D,D,C,
Salami danois pur porc fume aubois de hetre,Saint Alby,salamis,1874.0,0.5,17.0,3.4,16.3,0.5,0.0,32,E,32,0,E,23,D,D,E,D,E
Milano Salami,Sainsbury's,salamis,427.0,0.0,2.8,0.915,6.5,0.0,0.0,5,C,7,2,E,16,C,C,D,C,B
Bio Salami,Wiltmann,salamis,1512.0,1.0,12.0,4.2,22.2,0.0,0.0,34,E,34,0,D,41,D,D,D,D,E
Vegetarische Mühlen Salami,"Rügenwalder, Rügenwalder Mühle",salamis,1046.0,0.8,1.3,3.1,19.0,0.0,0.0,19,E,19,0,E,21,C,C,D,C,E
Salamini classico,Fratelli Beretta,salamis,2021.0,0.5,14.0,3.5,28.0,0.0,0.0,33,E,33,0,E,20,D,D,E,D,E
Salami nach spanischer Art Salchichón Extra,Campofrio Food Group. S.A.U.,salamis,1544.0,2.5,11.0,3.5,21.0,0.0,0.0,31,E,31,0,E,28,D,D,D,D,E
Italian Milano Salami,Tesco,salamis,1536.0,0.5,10.0,4.0,27.0,0.0,0.0,34,E,34,0,D,30,D,D,D,D,E
Salam cu Invelis de Ceapa si Usturoi,Camara Noastra,salamis,1962.0,2.8,16.0,3.5,20.5,0.0,0.0,32,E,32,0,E,21,E,E,E,E,E
Meatster,Eat go,salamis,2075.0,1.0,18.8999996185303,4.23228365229809,24.0,0.0,0.0,36,E,36,0,E,16,E,E,E,E,E
Mini Salami,Dulano,salamis,1925.0,1.0,17.1,3.9,24.0,0.0,0.0,34,E,34,0,E,16,E,E,E,E,E
Strolghino Salami,"Deluxe, Italiamo",salamis,1645.0,0.5,11.0,4.5,28.0,0.0,0.0,34,E,34,0,E,23,D,D,D,D,E
Meda Salam Sinaia,Meda,salamis,1770.0,0.0,14.0,3.5,23.0,0.0,0.0,32,E,32,0,E,16,D,D,D,D,E
Fresca Salumeria Prosciutto Cotto di Alta Qualità,Fratelli Beretta,salamis,539.0,0.5,2.0,2.1,20.0,0.0,0.0,13,D,13,0,D,30,C,C,D,B,E
Delikates Geflügel Edelsalami,Dulano,salamis,904.0,0.5,6.5,3.8,22.0,0.0,0.0,26,E,26,0,E,16,D,D,D,C,E
16 milano salami slices,"sainsbury's,by sainsbury's",salamis,1515.0,0.0,0.6,0.225,25.0,0.0,0.0,-2,A,5,7,E,27,B,B,D,B,B
Rosette de Lyon,Saint Alby,salamis,1444.0,1.0,12.0,4.1,23.0,1.2,0.0,34,E,34,0,E,23,D,D,D,C,E
Wurst  Salami Delikatess hauchfein,"Dulano, Lidl",salamis,1490.0,0.9,12.0,3.25,20.2,0.5,0.0,30,E,30,0,E,21,D,D,D,D,E
Paprika Salami,Dulano,salamis,1280.0,0.0,3.0,1.25,19.0,0.0,0.0,12,D,12,0,E,16,D,D,D,C,B
Salami,EDEKA Bio,salamis,1373.0,0.5,11.3,3.8,21.0,0.0,0.0,32,E,32,0,D,43,D,D,D,D,E
MEATSTER Original,Eat+Go,salamis,1925.0,0.0,0.0,0.0,46.0,0.0,0.0,-2,A,5,7,E,16,A,A,D,A,A
Delikatess Salami hauchfein,Dulano,salamis,1474.0,0.9,12.0,3.75,20.2,0.0,0.0,32,E,32,0,E,21,D,D,D,D,E
Salam Sasesc Cristim 250GR  30und oferta,,salamis,1285.0,0.96,11.0,2.32,16.33,0.0,0.0,24,E,24,0,E,16,D,D,D,D,E
Ferdi Fuchs Mini Salami,"Ferdi Fuchs, Stockmeyer",salamis,1790.0,0.2,14.0,4.14,32.0,0.0,0.0,35,E,35,0,E,21,D,D,D,D,E
Bifi,"Bifi, null",salamis,2151.0,0.9,19.0,4.2,24.0,0.0,0.0,36,E,36,0,E,16,E,E,E,E,E
TK  Beerenmischung,Freshona,frozen-fruits,255.0,6.7,0.1,0.01,0.9,1.3,0.0,1,B,1,0,C,59,C,C,C,B,B
Lait Demiécrémé,BON ET BIO,frozen-fruits,192.0,4.8,1.0,0.1,3.2,0.0,0.0,0,A,1,1,C,57,C,C,C,C,B
Arándanos enteros,Hacendado,frozen-fruits,219.0,10.0,0.0,0.0,0.7,2.4,0.0,1,B,1,0,C,56,B,B,C,A,B
Perfectly imperfect Mixed berries,Tesco,frozen-fruits,182.0,6.5,0.1,0.01,1.0,3.75,0.0,0,A,1,1,B,64,B,B,B,B,A
Myrtilles,Paquito,frozen-fruits,255.0,7.9,0.0,0.01,0.6,2.5,0.0,1,B,1,0,C,56,B,B,C,B,B
Frozen blueberries,Sainsbury's,frozen-fruits,151.0,7.3,0.1,0.0,0.7,1.2,0.0,1,B,1,0,C,56,C,C,C,B,B
TK  Himbeeren,Acona,frozen-fruits,224.0,5.5,0.1,0.0,1.6,4.9,0.0,-1,A,1,2,C,59,A,A,C,A,B
Berry Mix with Sour Cherries,Verona,frozen-fruits,200.0,7.1,0.0,0.01,0.9,0.0,0.0,1,B,1,0,B,61,B,B,D,B,B
Le petit doux,Le Paturon,frozen-fruits,1414.0,1.0,21.0,1.1,16.0,0.0,0.0,19,E,19,0,C,56,D,D,D,C,E
Fresas Congeladas,Hacendado,frozen-fruits,126.0,4.7,0.0,0.0,0.7,0.0,0.0,1,B,1,0,A,75,B,B,C,A,A
Blueberries,Four Seasons,frozen-fruits,190.0,9.12,0.125,0.0125,0.875,1.5,0.0,1,B,1,0,C,54,C,C,C,B,B
,Picard,frozen-fruits,230.0,2.8,0.5,0.01,0.7,2.8,0.0,0,A,0,0,B,74,B,B,B,B,A
Fruits rouges,"Marque Repère, Douceur du Verger, Fruistar",frozen-fruits,133.0,4.8,0.0,0.0,1.1,4.1,100.0,-6,A,1,7,B,64,B,A,B,A,A
APPLES  BLUEBERRIES MINI FRUIT BAR,That's it.,frozen-fruits,1260.0,45.0,0.0,0.0,5.0,15.0,0.0,7,C,12,5,C,49,C,C,D,A,B
Piña,Lidl,frozen-fruits,230.0,11.3,0.1,0.025,0.7,1.1,0.0,1,B,1,0,A,77,B,B,C,B,A
Framboises surgelées,Lidl,frozen-fruits,224.0,5.5,0.1,0.0,1.6,0.0,0.0,1,B,1,0,C,45,C,C,C,B,B
Myrtilles sauvages douces  sucrées  450g,U,frozen-fruits,255.0,7.9,0.1,0.01,0.6,2.5,0.0,1,B,1,0,C,54,B,B,C,B,B
Framboises entières,Picard,frozen-fruits,207.0,6.0,0.1,0.01,1.2,6.1,100.0,-8,A,1,9,B,70,A,A,B,A,A
Myrtilles sauvages bio,Picard,frozen-fruits,192.0,6.1,0.1,0.0,0.6,4.9,0.0,-1,A,1,2,B,74,A,A,B,A,
Céleri rémoulade,Déli'Salades,frozen-fruits,394.0,1.7,0.6,1.2,1.0,0.0,0.0,6,C,6,0,A,78,B,B,D,B,C
sainsburys frozen raspberries,"Sainsbury's, Goodfellow & Steven",frozen-fruits,168.0,4.62,0.125,0.0125,1.38,6.75,0.0,-3,A,1,4,C,52,B,B,C,B,B
ALDI Frozen Blueberries,Four Seasons Aldi,frozen-fruits,189.0,9.12,0.0,0.0,0.875,1.5,0.0,1,B,1,0,C,49,C,C,C,A,B
Raspberries frozen,Tesco,frozen-fruits,192.0,5.1,0.1,0.025,1.5,5.2,0.0,-2,A,1,3,C,50,B,B,C,B,B
Framboises Entières Surgelées 1kg,Picard,frozen-fruits,213.0,6.7,0.1,0.02,1.4,6.1,0.0,-3,A,1,4,C,50,B,B,C,B,B
Frozen blueberries,Asda,frozen-fruits,189.0,9.1,0.1,0.01,0.9,1.5,0.0,1,B,1,0,C,49,C,C,C,B,B
Fraises entières,Paquito,frozen-fruits,156.0,6.1,0.0,0.0,0.6,1.6,0.0,1,B,1,0,A,75,B,B,C,A,A
Himbeeren,,frozen-fruits,214.0,7.2,0.3,0.03,1.1,1.7,0.0,1,B,1,0,C,52,C,C,C,B,B
Beerenmischung TK,Alnatura,frozen-fruits,178.0,7.8,0.1,0.01,0.9,3.8,0.0,0,A,1,1,B,74,B,B,B,B,A
Myrtilles,Bio Organic,frozen-fruits,178.0,6.3,0.1,0.03,0.4,2.4,0.0,1,B,1,0,B,69,B,B,B,B,B
Framboises surgelées bio,LIDL,frozen-fruits,222.0,5.5,0.1,0.03,1.6,0.0,0.0,1,B,1,0,B,65,B,B,C,B,
Himbeeren,All Seasons,frozen-fruits,192.0,5.4,0.1,0.03,1.5,0.0,0.0,1,B,1,0,C,52,C,C,C,B,B
BioBeerenmischung tiefgefroren,"Aldi, Gut Bio, Jütro",frozen-fruits,200.0,7.8,0.1,0.01,0.9,0.0,0.0,1,B,1,0,A,79,A,A,D,B,A
Avocats en lamelles,Picard,frozen-fruits,552.0,0.5,3.5,0.19,1.2,4.0,0.0,2,B,4,2,C,52,B,B,C,B,B
Frozen Raspberries,Asda,frozen-fruits,141.0,5.1,0.1,0.0,0.8,3.7,0.0,0,A,1,1,C,45,B,B,C,B,B
ALDI Strawberries,Aldi,frozen-fruits,163.0,6.1,0.0,0.0,0.6,3.8,0.0,0,A,1,1,A,75,B,B,B,A,A
Frozen Blueberries,Freshona,frozen-fruits,189.0,9.12,0.125,0.0125,0.875,1.5,0.0,1,B,1,0,C,49,C,C,C,B,
Ananas en morceaux,Picard,frozen-fruits,232.0,12.0,0.1,0.01,0.5,1.0,0.0,1,B,1,0,A,78,A,A,C,B,B
Blueberries,Picard,frozen-fruits,272.0,14.0,0.10000000149012,0.01,0.80000001192093,1.6,0.0,1,B,1,0,C,56,C,C,C,B,B
Arándanos,Carrefour,frozen-fruits,218.0,13.0,0.0,0.0,0.0,2.4,0.0,1,B,1,0,B,64,B,B,B,A,B
ALDI Mango chunks,Four Seasons,frozen-fruits,264.0,13.0,0.10000000149012,0.0099999997764826,0.69999998807907,1.8,0.0,1,B,1,0,B,70,B,B,B,B,B
Framboises entières,Paquito,frozen-fruits,208.0,5.6,0.1,0.0,1.3,5.6,0.0,-2,A,1,3,C,52,A,A,C,A,B
Prince Goût Chocolat,LU,sweet-snacks,1960.0,31.5,5.5,0.5,6.5,4.0,0.0,19,E,21,2,D,44,D,D,D,C,D
Tonik,bimo,sweet-snacks,2120.0,40.0,10.9,0.217,4.35,0.435,0.0,26,E,26,0,B,66,D,D,D,D,E
Sésame,Gerblé,sweet-snacks,1961.0,17.0,2.0,0.38,10.0,4.6,0.0,10,C,12,2,C,57,C,C,C,C,B
Henrys,Henry's,sweet-snacks,1841.0,24.2353,5.2941,0.882353,7.6471,2.3529,0.0,18,D,18,0,C,55,C,C,D,C,
KING COOKIES,Excelo,sweet-snacks,2021.0,32.0,12.0,0.27,5.2,0.0,0.0,26,E,26,0,C,50,D,D,D,D,
Sable coco Henry s 42g,Henry's,sweet-snacks,1850.0,23.8,7.14,0.899,7.62,2.38,0.0,20,E,20,0,C,58,D,D,D,C,D
Biscuits croquants au coeur onctueux de Nutella,Nutella,sweet-snacks,2158.0,35.8,11.5,0.559,7.9,0.0,0.0,27,E,27,0,D,44,D,D,D,D,E
Fourrés Chocolat Noir,Bjorg,sweet-snacks,1996.0,27.0,6.3,0.49,7.6,5.2,0.0,14,D,17,3,B,70,C,C,D,C,D
Henrys,Henry’s,sweet-snacks,1840.0,24.2,5.29,0.882,7.65,2.35,0.0,18,D,18,0,B,64,C,C,D,C,
Momo black,Excelo,sweet-snacks,2073.0,27.0,9.9,0.32,7.0,0.0,0.0,20,E,20,0,D,40,D,D,D,D,E
Eyoo cover,EXCELO,sweet-snacks,2122.0,0.0,0.0,0.0,6.0,0.0,0.0,4,C,6,2,D,32,C,C,D,A,A
Pomme   Noisette,Gerblé,sweet-snacks,1902.0,11.0,1.5,0.01,9.8,6.6,0.0,-1,A,7,8,B,70,B,B,C,B,
Figue  son,Gerblé,sweet-snacks,1883.0,16.0,1.7,0.19,9.3,13.0,0.0,2,B,10,8,B,60,C,C,C,B,
Petit beurre,Bé,sweet-snacks,1771.0,15.3,8.5,0.23,6.6,1.2,0.0,18,D,18,0,C,53,C,C,D,C,D
Pains au lait x10,Pasquier,sweet-snacks,1485.0,11.0,4.0,0.00275,8.6,3.5,0.0,5,C,9,4,B,71,C,C,C,B,
Brioche Tranchée Bio 400g,La Boulangère,sweet-snacks,1413.0,13.0,0.9,0.95,8.8,3.9,0.0,5,C,9,4,B,69,B,B,D,B,
King cookies choco,Excelo,sweet-snacks,1987.0,31.2,12.0,0.27,5.4,0.0,0.0,25,E,25,0,E,27,D,D,E,D,
La gâche tranchée,La Fournée Dorée,sweet-snacks,1434.0,13.0,7.4,1.12,8.1,0.0,0.0,17,D,17,0,C,49,D,D,D,D,D
Granola LOriginal,"LU, Mondelez International",sweet-snacks,2058.0,28.0,12.0,1.2,5.9,3.5,0.0,24,E,25,1,D,40,D,D,D,D,D
Kinder Bueno,Kinder,sweet-snacks,2393.0,41.2,17.3,0.1975,8.6,2.0,0.0,26,E,26,0,E,22,E,E,E,C,D
Henrys Sable Coco Biscuit 85G,Henrys,sweet-snacks,1575.0,20.0,5.45,0.75,6.5,2.3,0.0,16,D,16,0,B,67,C,C,C,C,D
Biscuit raisins,Gerblé,sweet-snacks,1858.0,17.0,1.3,0.2,8.5,4.9,0.0,5,C,10,5,B,69,C,C,C,B,C
Nutri avoine chocolat,Bjorg,sweet-snacks,1900.0,17.0,3.2,0.61,8.2,7.6,0.0,10,C,15,5,B,61,C,C,C,C,B
Biscuits goût chocolat,BN,sweet-snacks,1900.0,29.8,8.84,1.1,6.63,3.87,0.0,21,E,22,1,D,35,D,D,D,D,D
digestives,McVitie's,sweet-snacks,2021.0,15.1,10.1,1.3,7.0,3.7,0.0,25,E,26,1,D,44,D,D,D,D,E
Figolu,LUMondelez,sweet-snacks,1680.0,50.0,3.75,0.000937,4.69,3.12,0.0,17,D,18,1,C,49,C,C,D,C,D
Krit krititas galletas saladas,"Cuétara, Krit",sweet-snacks,2113.0,8.7,12.0,1.7,6.5,2.5,0.0,25,E,25,0,B,74,D,D,D,C,
Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé",sweet-snacks,1919.0,21.0,2.8,0.74,8.5,5.0,0.0,11,D,14,3,B,74,C,C,C,C,C
Crunchy Avoine  Chocolat Noir x 5 x 2 barres de 21 g,"General Mills,Nature Valley",sweet-snacks,1981.0,26.8,3.4,0.65,8.7,7.0,0.0,10,C,15,5,D,36,C,C,D,C,B
Cookie cacao pépites Sans Sucre,Gerblé,sweet-snacks,1728.0,0.0,3.3,0.21,8.0,8.9,0.0,1,B,9,8,C,56,C,C,C,B,
petit déjeuner miel et pépites de chocolat,belvita,sweet-snacks,1711.0,26.0,2.8,1.4,5.7,7.6,0.0,12,D,17,5,B,71,D,D,D,C,
Poulet au Curry et Noix de Coco ,"WW,Weight Watchers",ready-meals,1205.0,2.5,1.6,0.6,6.3,1.1,0.0,4,C,6,2,E,18,C,C,C,C,B
Couscous Oriental légumes cuisinés et poulet émincé,"WW, Weight Watchers",ready-meals,382.0,2.2,0.3,0.69,6.9,1.4,28.3,2,B,4,2,B,69,B,B,C,B,C
Cuisiné cappelletti,Céréal BIO,ready-meals,415.0,3.2,0.5,0.56,3.7,3.2,0.0,1,B,3,2,B,70,B,B,C,B,
Le couscous à la marocaine,Fleury Michon,ready-meals,599.0,2.8,1.8,0.72,8.2,1.3,0.0,2,B,5,3,B,70,C,C,C,B,C
Brandade de Morue parmentière 2 personnes,Pêcheries Basques,ready-meals,638.0,0.5,1.1,0.8,6.6,0.0,0.0,4,C,6,2,E,15,C,C,C,C,B
Risotto poulet  cèpes crème fraîche petits oignons,Fleury Michon,ready-meals,540.0,0.8,2.9,0.66,5.6,0.5,0.0,4,C,6,2,C,56,C,C,C,C,B
Penne au Poulet et au Pesto,Marie,ready-meals,778.0,1.6,1.5,0.65,8.0,1.2,10.1,3,C,6,3,D,35,C,C,C,C,B
St Jacques fondue de poireaux  Riz Basmati,Marie,ready-meals,605.0,1.2,3.0,0.59,5.8,0.6,13.9,4,C,6,2,B,63,C,B,C,B,B
Emincés de boeuf sauce poivre  pommes de terre,Fleury Michon,ready-meals,598.0,0.786,1.79,0.607,6.43,1.0,0.0,3,C,5,2,A,75,C,C,C,B,B
Le Filet de Poulet et ses Pommes de Terre à la Sarladaise,Fleury Michon,ready-meals,659.0,0.9,1.9,0.73,10.0,1.3,0.0,1,B,5,4,D,30,C,C,C,B,
Paëlla royale aux petites gambas et au safran,Marie,ready-meals,412.0,1.2,0.6,0.79,5.4,0.8,20.0,2,B,4,2,D,33,C,B,D,B,
Le Parmentier de Boeuf Charolais purée à la crème fraîche,Fleury Michon,ready-meals,571.0,2.6,3.4,0.71,9.2,1.2,0.0,4,C,7,3,E,17,C,C,C,B,B
